name,email,type,max_units,expertise_tags
John Doe,john.doe@university.edu,Full-time,18,"PHP, MySQL, Web Dev"
Jane Smith,jane.smith@university.edu,Full-time,18,"Networking, Security"
Alan Turing,alan.turing@university.edu,Part-time,12,"Mathematics, Algorithms"
Maria Garcia,maria.garcia@university.edu,Full-time,18,"Literature, Writing"
Robert Brown,robert.brown@university.edu,Full-time,18,"Database, SQL, Data Modeling"
Emily Davis,emily.davis@university.edu,Part-time,12,"UI/UX Design, Figma"
Michael Johnson,michael.johnson@university.edu,Full-time,18,"Java, OOP, Software Engineering"
Sophia Martinez,sophia.martinez@university.edu,Full-time,18,"Artificial Intelligence, Machine Learning"
Daniel Lee,daniel.lee@university.edu,Part-time,12,"Cloud Computing, AWS"
Olivia Wilson,olivia.wilson@university.edu,Full-time,18,"Cybersecurity, Ethical Hacking"
Kevin Chen,kevin.chen@university.edu,Full-time,18,"Data Structures, Algorithms, Discrete Math"
Priya Patel,priya.patel@university.edu,Full-time,18,"Operating Systems, Computer Architecture"
